Feature Name,Category,Subcategory,Description,Input Required,Output,Example Tool/API,Tags,Capability Category,Documentation / URL
Live chat sentiment indicator,Content Overlays,,Live chat sentiment indicator — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Meeting summary email generator,Collaboration & Productivity,,Meeting summary email generator — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Permission-aware identity recognition,Security & Privacy,,Permission-aware identity recognition — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Posture reminder (slouch detection),Camera & Body,,Posture reminder (slouch detection) — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Privacy-preserving on-device ML for detection,Research / Future,,Privacy-preserving on-device ML for detection — forward-looking / research-driven capability.,Varies,Metadata/Media,Generic AI Tool,research,Other,https://huggingface.co/models
Real-time audience count,Content Overlays,,Real-time audience count — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Real-time lip-reading fallback transcription,Research / Future,,Real-time lip-reading fallback transcription — forward-looking / research-driven capability.,Varies,Metadata/Media,Generic AI Tool,research,Other,https://huggingface.co/models
Real-time transcription,Speech → Text & Text → Speech,,Real-time transcription — automated capability for live video/streaming apps.,Audio,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Real-time translation & dubbing,Audio,,Real-time translation & dubbing — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Remove chat,Auto/Generic,,Remove chat — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Generic AI Tool,,Other,https://huggingface.co/models
Remove keyboard clicks,Audio,,Remove keyboard clicks — automated capability for live video/streaming apps.,Microphone,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Remove screen-share,Auto/Generic,,Remove screen-share — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Generic AI Tool,,Other,https://huggingface.co/models
Remove slides,Auto/Generic,,Remove slides — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Generic AI Tool,,Other,https://huggingface.co/models
Remove speaker,Auto/Generic,,Remove speaker — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Generic AI Tool,,Other,https://huggingface.co/models
"Sensitive info redaction (SSNs, emails)",Security & Privacy,,"Sensitive info redaction (SSNs, emails) — automated capability for live video/streaming apps.",Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Sponsor/product callouts,Content Overlays,,Sponsor/product callouts — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
Transcript-based search,Collaboration & Productivity,,Transcript-based search — automated capability for live video/streaming apps.,Stream/Media/Transcript,Modified video/audio/subtitles/metadata,Generic AI Tool,,Other,https://huggingface.co/models
AI script-to-video clips,Generative & Creative,,AI script-to-video clips — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Generic AI Tool,,Vision,https://huggingface.co/models
Adaptive bitrate based on scene complexity (AI-driven),Research / Future,,Adaptive bitrate based on scene complexity (AI-driven) — forward-looking / research-driven capability.,Varies,Metadata/Media,Runway ML,research,Vision,https://runwayml.com/
Annotate background,Auto/Generic,,Annotate background — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Runway ML,,Vision,https://runwayml.com/
Annotate face,Auto/Generic,,Annotate face — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,MediaPipe,,Vision,https://developers.google.com/mediapipe
Anonymize face (replace with avatar),Face & Identity,,Anonymize face (replace with avatar) — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,MediaPipe,,Vision,https://developers.google.com/mediapipe
Auto camera switching (scene-aware),Camera & Body,,Auto camera switching (scene-aware) — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Runway ML,,Vision,https://runwayml.com/
Auto-correct background,Auto/Generic,,Auto-correct background — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,Runway ML,,Vision,https://runwayml.com/
Auto-correct face,Auto/Generic,,Auto-correct face — autogenerated variation to increase coverage.,Varies (camera/microphone/screen),Modified media/data,MediaPipe,,Vision,https://developers.google.com/mediapipe
Background color grading,Background & Environment,,Background color grading — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Runway ML,,Vision,https://runwayml.com/
Background depth-of-field (bokeh),Background & Environment,,Background depth-of-field (bokeh) — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Runway ML,,Vision,https://runwayml.com/
Background parallax effect,Background & Environment,,Background parallax effect — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Runway ML,,Vision,https://runwayml.com/
Background relighting,Background & Environment,,Background relighting — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Runway ML,,Vision,https://runwayml.com/
Blur background,Background & Environment,,Blur background — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,Runway ML,,Vision,https://runwayml.com/
Blur background as-closed-captions,Auto/Generated,,Blur background as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background as-emoji,Auto/Generated,,Blur background as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background as-searchable-metadata,Auto/Generated,,Blur background as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background as-text-snippet,Auto/Generated,,Blur background as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background as-timestamped-clip,Auto/Generated,,Blur background as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background for-low-bandwidth,Auto/Generated,,Blur background for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background in real-time,Auto/Generated,,Blur background in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background on-recording,Auto/Generated,,Blur background on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-audio-only-mode,Auto/Generated,,Blur background with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Vision,https://www.agora.io/en/blog/ai-noise-suppression/
Blur background with-auto-archive,Auto/Generated,,Blur background with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-clip-optimization,Auto/Generated,,Blur background with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-confidence-score,Auto/Generated,,Blur background with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-high-precision,Auto/Generated,,Blur background with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-language-detection,Auto/Generated,,Blur background with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-low-latency,Auto/Generated,,Blur background with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-privacy-preserving-on-device,Auto/Generated,,Blur background with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-source-link,Auto/Generated,,Blur background with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-speaker-attribution,Auto/Generated,,Blur background with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-translation,Auto/Generated,,Blur background with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur background with-visual-cue,Auto/Generated,,Blur background with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur camera feed as-closed-captions,Auto/Generated,,Blur camera feed as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Zoom AI Companion / Descript / Whisper,generated,Vision,"https://www.descript.com/, https://openai.com/research/whisper"
Blur camera feed as-emoji,Auto/Generated,,Blur camera feed as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed as-searchable-metadata,Auto/Generated,,Blur camera feed as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed as-text-snippet,Auto/Generated,,Blur camera feed as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed as-timestamped-clip,Auto/Generated,,Blur camera feed as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed for-low-bandwidth,Auto/Generated,,Blur camera feed for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed in real-time,Auto/Generated,,Blur camera feed in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed on-recording,Auto/Generated,,Blur camera feed on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-audio-only-mode,Auto/Generated,,Blur camera feed with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Vision,https://www.agora.io/en/blog/ai-noise-suppression/
Blur camera feed with-auto-archive,Auto/Generated,,Blur camera feed with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-clip-optimization,Auto/Generated,,Blur camera feed with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-confidence-score,Auto/Generated,,Blur camera feed with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-high-precision,Auto/Generated,,Blur camera feed with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-language-detection,Auto/Generated,,Blur camera feed with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-low-latency,Auto/Generated,,Blur camera feed with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-privacy-preserving-on-device,Auto/Generated,,Blur camera feed with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-source-link,Auto/Generated,,Blur camera feed with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-speaker-attribution,Auto/Generated,,Blur camera feed with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-translation,Auto/Generated,,Blur camera feed with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur camera feed with-visual-cue,Auto/Generated,,Blur camera feed with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur face,Face & Identity,,Blur face — automated capability for live video/streaming apps.,Camera,Modified video/audio/subtitles/metadata,MediaPipe,,Vision,https://developers.google.com/mediapipe
Blur face as-closed-captions,Auto/Generated,,Blur face as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face as-emoji,Auto/Generated,,Blur face as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face as-searchable-metadata,Auto/Generated,,Blur face as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face as-text-snippet,Auto/Generated,,Blur face as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face as-timestamped-clip,Auto/Generated,,Blur face as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face for-low-bandwidth,Auto/Generated,,Blur face for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face in real-time,Auto/Generated,,Blur face in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face on-recording,Auto/Generated,,Blur face on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-audio-only-mode,Auto/Generated,,Blur face with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Vision,https://www.agora.io/en/blog/ai-noise-suppression/
Blur face with-auto-archive,Auto/Generated,,Blur face with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-clip-optimization,Auto/Generated,,Blur face with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-confidence-score,Auto/Generated,,Blur face with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-high-precision,Auto/Generated,,Blur face with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-language-detection,Auto/Generated,,Blur face with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-low-latency,Auto/Generated,,Blur face with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-privacy-preserving-on-device,Auto/Generated,,Blur face with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-source-link,Auto/Generated,,Blur face with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-speaker-attribution,Auto/Generated,,Blur face with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-translation,Auto/Generated,,Blur face with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur face with-visual-cue,Auto/Generated,,Blur face with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture as-closed-captions,Auto/Generated,,Blur hand gesture as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture as-emoji,Auto/Generated,,Blur hand gesture as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture as-searchable-metadata,Auto/Generated,,Blur hand gesture as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture as-text-snippet,Auto/Generated,,Blur hand gesture as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture as-timestamped-clip,Auto/Generated,,Blur hand gesture as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture for-low-bandwidth,Auto/Generated,,Blur hand gesture for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture in real-time,Auto/Generated,,Blur hand gesture in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture on-recording,Auto/Generated,,Blur hand gesture on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-audio-only-mode,Auto/Generated,,Blur hand gesture with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Vision,https://www.agora.io/en/blog/ai-noise-suppression/
Blur hand gesture with-auto-archive,Auto/Generated,,Blur hand gesture with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-clip-optimization,Auto/Generated,,Blur hand gesture with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-confidence-score,Auto/Generated,,Blur hand gesture with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-high-precision,Auto/Generated,,Blur hand gesture with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-language-detection,Auto/Generated,,Blur hand gesture with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-low-latency,Auto/Generated,,Blur hand gesture with-low-latency — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-privacy-preserving-on-device,Auto/Generated,,Blur hand gesture with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-source-link,Auto/Generated,,Blur hand gesture with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-speaker-attribution,Auto/Generated,,Blur hand gesture with-speaker-attribution — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-translation,Auto/Generated,,Blur hand gesture with-translation — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur hand gesture with-visual-cue,Auto/Generated,,Blur hand gesture with-visual-cue — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,MediaPipe,generated,Vision,https://developers.google.com/mediapipe
Blur object as-emoji,Auto/Generated,,Blur object as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object as-text-snippet,Auto/Generated,,Blur object as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object as-timestamped-clip,Auto/Generated,,Blur object as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object for-low-bandwidth,Auto/Generated,,Blur object for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object in real-time,Auto/Generated,,Blur object in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object on-recording,Auto/Generated,,Blur object on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object with-confidence-score,Auto/Generated,,Blur object with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object with-privacy-preserving-on-device,Auto/Generated,,Blur object with-privacy-preserving-on-device — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur object with-source-link,Auto/Generated,,Blur object with-source-link — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Generic AI Tool,generated,Vision,https://huggingface.co/models
Blur scene as-closed-captions,Auto/Generated,,Blur scene as-closed-captions — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene as-emoji,Auto/Generated,,Blur scene as-emoji — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene as-searchable-metadata,Auto/Generated,,Blur scene as-searchable-metadata — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene as-text-snippet,Auto/Generated,,Blur scene as-text-snippet — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene as-timestamped-clip,Auto/Generated,,Blur scene as-timestamped-clip — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene for-low-bandwidth,Auto/Generated,,Blur scene for-low-bandwidth — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene in real-time,Auto/Generated,,Blur scene in real-time — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene on-recording,Auto/Generated,,Blur scene on-recording — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-audio-only-mode,Auto/Generated,,Blur scene with-audio-only-mode — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Agora (AI Noise Suppression),generated,Vision,https://www.agora.io/en/blog/ai-noise-suppression/
Blur scene with-auto-archive,Auto/Generated,,Blur scene with-auto-archive — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-clip-optimization,Auto/Generated,,Blur scene with-clip-optimization — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-confidence-score,Auto/Generated,,Blur scene with-confidence-score — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-high-precision,Auto/Generated,,Blur scene with-high-precision — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
Blur scene with-language-detection,Auto/Generated,,Blur scene with-language-detection — generated permutation to expand coverage.,Varies (camera/microphone/screen/transcript),Modified media/metadata/analytics,Runway ML,generated,Vision,https://runwayml.com/
